"","Survived","Pclass","Sex","Age","Family","Embarked"
"729","0","2","male",25,"Yes","S"
"730","0","3","female",25,"Yes","S"
"731","1","1","female",29,"No","S"
"732","0","3","male",11,"No","C"
"733","0","2","male",29.8776300578035,"No","S"
"734","0","2","male",23,"No","S"
"735","0","2","male",23,"No","S"
"736","0","3","male",28.5,"No","S"
"737","0","3","female",48,"Yes","S"
"738","1","1","male",35,"No","C"
"739","0","3","male",25.1406197183099,"No","S"
"740","0","3","male",25.1406197183099,"No","S"
"741","1","1","male",38.2334408602151,"No","S"
"742","0","1","male",36,"Yes","S"
"743","1","1","female",21,"Yes","C"
"744","0","3","male",24,"Yes","S"
"745","1","3","male",31,"No","S"
"746","0","1","male",70,"Yes","S"
"747","0","3","male",16,"Yes","S"
"748","1","2","female",30,"No","S"
"749","0","1","male",19,"Yes","S"
"750","0","3","male",31,"No","Q"
"751","1","2","female",4,"Yes","S"
"752","1","3","male",6,"Yes","S"
"753","0","3","male",33,"No","S"
"754","0","3","male",23,"No","S"
"755","1","2","female",48,"Yes","S"
"756","1","2","male",0.67,"Yes","S"
"757","0","3","male",28,"No","S"
"758","0","2","male",18,"No","S"
"759","0","3","male",34,"No","S"
"760","1","1","female",33,"No","S"
"761","0","3","male",25.1406197183099,"No","S"
"762","0","3","male",41,"No","S"
"763","1","3","male",20,"No","C"
"764","1","1","female",36,"Yes","S"
"765","0","3","male",16,"No","S"
"766","1","1","female",51,"Yes","S"
"767","0","1","male",38.2334408602151,"No","C"
"768","0","3","female",30.5,"No","Q"
"769","0","3","male",25.1406197183099,"Yes","Q"
"770","0","3","male",32,"No","S"
"771","0","3","male",24,"No","S"
"772","0","3","male",48,"No","S"
"773","0","2","female",57,"No","S"
"774","0","3","male",25.1406197183099,"No","C"
"775","1","2","female",54,"Yes","S"
"776","0","3","male",18,"No","S"
"777","0","3","male",25.1406197183099,"No","Q"
"778","1","3","female",5,"No","S"
"779","0","3","male",25.1406197183099,"No","Q"
"780","1","1","female",43,"Yes","S"
"781","1","3","female",13,"No","C"
"782","1","1","female",17,"Yes","S"
"783","0","1","male",29,"No","S"
"784","0","3","male",25.1406197183099,"Yes","S"
"785","0","3","male",25,"No","S"
"786","0","3","male",25,"No","S"
"787","1","3","female",18,"No","S"
"788","0","3","male",8,"Yes","Q"
"789","1","3","male",1,"Yes","S"
"790","0","1","male",46,"No","C"
"791","0","3","male",25.1406197183099,"No","Q"
"792","0","2","male",16,"No","S"
"793","0","3","female",25.1406197183099,"Yes","S"
"794","0","1","male",38.2334408602151,"No","C"
"795","0","3","male",25,"No","S"
"796","0","2","male",39,"No","S"
"797","1","1","female",49,"No","S"
"798","1","3","female",31,"No","S"
"799","0","3","male",30,"No","C"
"800","0","3","female",30,"Yes","S"
"801","0","2","male",34,"No","S"
"802","1","2","female",31,"Yes","S"
"803","1","1","male",11,"Yes","S"
"804","1","3","male",0.42,"Yes","C"
"805","1","3","male",27,"No","S"
"806","0","3","male",31,"No","S"
"807","0","1","male",39,"No","S"
"808","0","3","female",18,"No","S"
"809","0","2","male",39,"No","S"
"810","1","1","female",33,"Yes","S"
"811","0","3","male",26,"No","S"
"812","0","3","male",39,"No","S"
"813","0","2","male",35,"No","S"
"814","0","3","female",6,"Yes","S"
"815","0","3","male",30.5,"No","S"
"816","0","1","male",38.2334408602151,"No","S"
"817","0","3","female",23,"No","S"
"818","0","2","male",31,"Yes","C"
"819","0","3","male",43,"No","S"
"820","0","3","male",10,"Yes","S"
"821","1","1","female",52,"Yes","S"
"822","1","3","male",27,"No","S"
"823","0","1","male",38,"No","S"
"824","1","3","female",27,"Yes","S"
"825","0","3","male",2,"Yes","S"
"826","0","3","male",25.1406197183099,"No","Q"
"827","0","3","male",25.1406197183099,"No","S"
"828","1","2","male",1,"Yes","C"
"829","1","3","male",25.1406197183099,"No","Q"
"830","1","1","female",62,"No","S"
"831","1","3","female",15,"Yes","C"
"832","1","2","male",0.83,"Yes","S"
"833","0","3","male",25.1406197183099,"No","C"
"834","0","3","male",23,"No","S"
"835","0","3","male",18,"No","S"
"836","1","1","female",39,"Yes","C"
"837","0","3","male",21,"No","S"
"838","0","3","male",25.1406197183099,"No","S"
"839","1","3","male",32,"No","S"
"840","1","1","male",38.2334408602151,"No","C"
"841","0","3","male",20,"No","S"
"842","0","2","male",16,"No","S"
"843","1","1","female",30,"No","C"
"844","0","3","male",34.5,"No","C"
"845","0","3","male",17,"No","S"
"846","0","3","male",42,"No","S"
"847","0","3","male",25.1406197183099,"Yes","S"
"848","0","3","male",35,"No","C"
"849","0","2","male",28,"Yes","S"
"850","1","1","female",38.2334408602151,"Yes","C"
"851","0","3","male",4,"Yes","S"
"852","0","3","male",74,"No","S"
"853","0","3","female",9,"Yes","C"
"854","1","1","female",16,"Yes","S"
"855","0","2","female",44,"Yes","S"
"856","1","3","female",18,"Yes","S"
"857","1","1","female",45,"Yes","S"
"858","1","1","male",51,"No","S"
"859","1","3","female",24,"Yes","C"
"860","0","3","male",25.1406197183099,"No","C"
"861","0","3","male",41,"Yes","S"
"862","0","2","male",21,"Yes","S"
"863","1","1","female",48,"No","S"
"864","0","3","female",25.1406197183099,"Yes","S"
"865","0","2","male",24,"No","S"
"866","1","2","female",42,"No","S"
"867","1","2","female",27,"Yes","C"
"868","0","1","male",31,"No","S"
"869","0","3","male",25.1406197183099,"No","S"
"870","1","3","male",4,"Yes","S"
"871","0","3","male",26,"No","S"
"872","1","1","female",47,"Yes","S"
"873","0","1","male",33,"No","S"
"874","0","3","male",47,"No","S"
"875","1","2","female",28,"Yes","C"
"876","1","3","female",15,"No","C"
"877","0","3","male",20,"No","S"
"878","0","3","male",19,"No","S"
"879","0","3","male",25.1406197183099,"No","S"
"880","1","1","female",56,"Yes","C"
"881","1","2","female",25,"Yes","S"
"882","0","3","male",33,"No","S"
"883","0","3","female",22,"No","S"
"884","0","2","male",28,"No","S"
"885","0","3","male",25,"No","S"
"886","0","3","female",39,"Yes","Q"
"887","0","2","male",27,"No","S"
"888","1","1","female",19,"No","S"
"889","0","3","female",25.1406197183099,"Yes","S"
"890","1","1","male",26,"No","C"
"891","0","3","male",32,"No","Q"
